FID,Northing,Easting,Latitude,Longitude,Elevation,GCP,Location,Bound,KM_Marker,GCP_Name,Remark,Section
0,695039.238204124,271440.939813249,6.27873856323,100.426034442,18.7918,GP91,KEDAH/PERLIS,NB,27,GCP 01,Jitra North Interchange,N1
1,690291.564206435,272076.421294269,6.23582786541,100.431979791,15.4467,GP90,KEDAH/PERLIS,NB,32,GCP 02,Jitra South Interchange (Darul Aman),N1
2,682019.770332088,269121.044460235,6.16089187387,100.405625274,5.2211,GP89,KEDAH/PERLIS,Toll Plaza,41,GCP 03,Hutan Kampung Toll Plaza,N1
3,679441.829050388,267819.26537131,6.13752108439,100.393973093,3.6567,TBM03,KEDAH/PERLIS,Toll Plaza,44,GCP 04,Alor Setar North Toll Plaza,N1
4,673286.186379948,265578.857775063,6.08175282855,100.373996274,3.4373,TBM04,KEDAH/PERLIS,Toll Plaza,50,GCP 05,Alor Setar South Toll Plaza,N1
5,673302.483298288,265632.553132387,6.08190254946,100.374480737,3.605,GP88,KEDAH/PERLIS,Toll Plaza,50,GCP 06,Alor Setar South Toll Plaza,N1
6,661835.465701359,273299.718738129,5.9785235487,100.44423675,3.8975,GP87,KEDAH/PERLIS,Toll Plaza,64,GCP 07,Pendang Toll Plaza,N2
7,645650.901787529,278129.015064092,5.83235241374,100.488530112,30.5843,GP86,KEDAH/PERLIS,RSA SB,81,GCP 08,RSA Gurun SB,N2
8,640109.142150854,279677.127831068,5.78229664185,100.502738295,29.0733,GP85,KEDAH/PERLIS,SB,86.5,GCP 09,,N2
9,628295.691670254,280493.329011034,5.6754895419,100.510591257,11.5502,GP84,KEDAH/PERLIS,Toll Plaza,99,GCP 10,Sg Petani Utara Toll Plaza,N2
10,621600.195726784,277630.926857194,5.61481834882,100.485024586,24.1432,GP83,KEDAH/PERLIS,Toll Plaza,107.5,GCP 11,Sg Petani Selatan Toll Plaza,N2
11,615544.844561975,272578.801179023,5.55984443744,100.439671374,2.9722,GP82,PULAU PINANG,Layby NB,116,GCP 12,Layby Sungai Muda NB,N3
12,611056.133413437,272950.984838822,5.51926487298,100.443218238,4.5056,GP81,PULAU PINANG,Toll Plaza,120.5,GCP 13,Bertam Toll Plaza,N3
13,600540.11280125,269698.371896375,5.42402380652,100.414304274,2.7016,GP80,PULAU PINANG,Layby NB,132.5,GCP 14,Layby Sg Dua NB,N3
14,597801.947484829,270837.582410213,5.39930851079,100.42469936,3.6428,G104,PULAU PINANG,Toll Plaza,6.5,GCP 15,Kubang Semang Toll Plaza,N7
15,599523.61194485,281106.737680236,5.41530229142,100.517296739,36.0585,PNT01,DL2- OBR Penanti,OBR,17,GCP 16,OBR Penanti,N7
16,599786.013721161,282683.890700473,5.41773913199,100.531518628,16.5633,G103,KEDAH/PERLIS,Toll Plaza EB,18.8,GCP 17,Lunas Toll Plaza,N7
17,593125.239130431,267217.876211987,5.35686116808,100.392234175,2.1713,GP96,PULAU PINANG,EB,0,GCP 18,Layby Penang Bridge EB,N6
18,593245.57762977,258683.494401923,5.35758230053,100.315223499,4.263,GP95,PULAU PINANG,IC,0,GCP 19,Udini Interchange,N6
19,595698.604782403,258293.023623416,5.37974925278,100.311593339,10.7613,TBM06,PULAU PINANG,IC,0,GCP 20,Tengku Kudin Interchange,N6
20,592589.665279293,270476.885538958,5.35215506261,100.421662801,2.1834,GP79,PULAU PINANG,Layby SB,142,GCP 21,Layby Juru SB,N3
21,584300.595487065,274322.842510329,5.27735141102,100.45670682,1.5395,GP78,PULAU PINANG,Toll Plaza,151.3,GCP 22,Bukit Tambun South Toll Plaza,N3
22,579295.344667539,273836.337737615,5.23206557991,100.452523885,2.4901,TBM07,PULAU PINANG,Toll Plaza,154.7,GCP 23,Bandar Cassia Toll Plaza,N3
23,574346.50222049,277913.207467392,5.18747700061,100.489502935,3.6072,GP76,PULAU PINANG,Toll Plaza,163,GCP 24,Jawi Toll Plaza,N4
24,565580.139911023,284868.6768322,5.10847580043,100.552591776,3.8404,GP75,KEDAH,Toll Plaza,175,GCP 25,Bandar Baharu Toll Plaza,N4
25,562159.773509485,288151.294401367,5.07767206934,100.582332542,2.6276,GP74,KEDAH,Layby NB,180,GCP 26,Layby Alor Pongsu NB,N4
26,561158.175068193,289622.048685654,5.0686711846,100.595636133,4.6887,TBM08,KEDAH,Toll Plaza,181.5,GCP 27,Alor Pongsu Toll Plaza,N4
27,553111.84481205,295986.692421441,4.99614643926,100.653342881,10.2836,NTISGCP1,PERAK,Toll Plaza,193.3,GCP 28,Bukit Merah Toll Plaza,N4
28,552549.616396877,297023.529045112,4.99110097293,100.662714151,16.4559,GP73,PERAK,RSA SB,194.7,GCP 29,RSA Gunung Semanggol SB,N4
29,542071.808780168,297819.898598105,4.89637254241,100.670287893,3.033,GP72,PERAK,Toll Plaza,205.3,GCP 30,Taiping North Toll Plaza,N4
30,534723.08913679,298308.941407726,4.82993151727,100.674970947,3.1597,GP71,PERAK,Layby NB,213,GCP 31,Layby Taiping NB,N4
31,529358.772105902,303259.071705271,4.78160131667,100.719794926,11.268,GP70,PERAK,Toll Plaza,221,GCP 32,Changkat Jering Toll Plaza,N5
32,529096.526363137,313197.841563241,4.77958658111,100.80940202,135.842,GP69,PERAK,SB,231,GCP 33,,N5
33,527946.814337285,323391.204113085,4.76954152522,100.901335086,54.4846,GP68,PERAK,Toll Plaza,241.5,GCP 34,Kuala Kangsar Toll Plaza,N5
34,521985.010014211,328271.678390202,4.71578730711,100.945530664,39.1475,GP67,PERAK,RSA SB,249,GCP 35,RSA Sg Perak SB,N5
35,517987.582304613,339117.242311875,4.67998758181,101.043423938,259.55,GP66,PERAK,Vista Point NB,263.1,GCP 36,,N5
