FID,Northing,Easting,Latitude,Longitude,Elevation,GCP,Location,Bound,KM_Marker,GCP_Name,Remark,Section
0,695039.238204124,271440.939813249,6,100,19,GP91,KEDAH/PERLIS,NB,27,GCP 01,Jitra North Interchange,N1
1,690291.564206435,272076.421294269,6,100,15,GP90,KEDAH/PERLIS,NB,32,GCP 02,Jitra South Interchange (Darul Aman),N1
2,682019.770332088,269121.044460235,6,100,5,GP89,KEDAH/PERLIS,Toll Plaza,41,GCP 03,Hutan Kampung Toll Plaza,N1
3,679441.829050388,267819.26537131,6,100,4,TBM03,KEDAH/PERLIS,Toll Plaza,44,GCP 04,Alor Setar North Toll Plaza,N1
4,673286.186379948,265578.857775063,6,100,3,TBM04,KEDAH/PERLIS,Toll Plaza,50,GCP 05,Alor Setar South Toll Plaza,N1
5,673302.483298288,265632.553132387,6,100,4,GP88,KEDAH/PERLIS,Toll Plaza,50,GCP 06,Alor Setar South Toll Plaza,N1
6,661835.465701359,273299.718738129,6,100,4,GP87,KEDAH/PERLIS,Toll Plaza,64,GCP 07,Pendang Toll Plaza,N2
7,645650.901787529,278129.015064092,6,100,31,GP86,KEDAH/PERLIS,RSA SB,81,GCP 08,RSA Gurun SB,N2
8,640109.142150854,279677.127831068,6,101,29,GP85,KEDAH/PERLIS,SB,87,GCP 09, ,N2
9,628295.691670254,280493.329011034,6,101,12,GP84,KEDAH/PERLIS,Toll Plaza,99,GCP 10,Sg Petani Utara Toll Plaza,N2
10,621600.195726784,277630.926857194,6,100,24,GP83,KEDAH/PERLIS,Toll Plaza,108,GCP 11,Sg Petani Selatan Toll Plaza,N2
11,615544.844561975,272578.801179023,6,100,3,GP82,PULAU PINANG,Layby NB,116,GCP 12,Layby Sungai Muda NB,N3
12,611056.133413437,272950.984838822,6,100,5,GP81,PULAU PINANG,Toll Plaza,121,GCP 13,Bertam Toll Plaza,N3
13,600540.11280125,269698.371896375,5,100,3,GP80,PULAU PINANG,Layby NB,133,GCP 14,Layby Sg Dua NB,N3
14,597801.947484829,270837.582410213,5,100,4,G104,PULAU PINANG,Toll Plaza,7,GCP 15,Kubang Semang Toll Plaza,N7
15,599523.61194485,281106.737680236,5,101,36,PNT01,DL2- OBR Penanti,OBR,17,GCP 16,OBR Penanti,N7
16,599786.013721161,282683.890700473,5,101,17,G103,KEDAH/PERLIS,Toll Plaza EB,19,GCP 17,Lunas Toll Plaza,N7
17,593125.239130431,267217.876211987,5,100,2,GP96,PULAU PINANG,EB,0,GCP 18,Layby Penang Bridge EB,N6
18,593245.57762977,258683.494401923,5,100,4,GP95,PULAU PINANG,IC,0,GCP 19,Udini Interchange,N6
19,595698.604782403,258293.023623416,5,100,11,TBM06,PULAU PINANG,IC,0,GCP 20,Tengku Kudin Interchange,N6
20,592589.665279293,270476.885538958,5,100,2,GP79,PULAU PINANG,Layby SB,142,GCP 21,Layby Juru SB,N3
21,584300.595487065,274322.842510329,5,100,2,GP78,PULAU PINANG,Toll Plaza,151,GCP 22,Bukit Tambun South Toll Plaza,N3
22,579295.344667539,273836.337737615,5,100,2,TBM07,PULAU PINANG,Toll Plaza,155,GCP 23,Bandar Cassia Toll Plaza,N3
23,574346.50222049,277913.207467392,5,100,4,GP76,PULAU PINANG,Toll Plaza,163,GCP 24,Jawi Toll Plaza,N4
24,565580.139911023,284868.6768322,5,101,4,GP75,KEDAH,Toll Plaza,175,GCP 25,Bandar Baharu Toll Plaza,N4
25,562159.773509485,288151.294401367,5,101,3,GP74,KEDAH,Layby NB,180,GCP 26,Layby Alor Pongsu NB,N4
26,561158.175068193,289622.048685654,5,101,5,TBM08,KEDAH,Toll Plaza,182,GCP 27,Alor Pongsu Toll Plaza,N4
27,553111.84481205,295986.692421441,5,101,10,NTISGCP1,PERAK,Toll Plaza,193,GCP 28,Bukit Merah Toll Plaza,N4
28,552549.616396877,297023.529045112,5,101,16,GP73,PERAK,RSA SB,195,GCP 29,RSA Gunung Semanggol SB,N4
29,542071.808780168,297819.898598105,5,101,3,GP72,PERAK,Toll Plaza,205,GCP 30,Taiping North Toll Plaza,N4
30,534723.08913679,298308.941407726,5,101,3,GP71,PERAK,Layby NB,213,GCP 31,Layby Taiping NB,N4
31,529358.772105902,303259.071705271,5,101,11,GP70,PERAK,Toll Plaza,221,GCP 32,Changkat Jering Toll Plaza,N5
32,529096.526363137,313197.841563241,5,101,136,GP69,PERAK,SB,231,GCP 33, ,N5
